claim_id,accident_date,evaluation_date,payment_amount,change_in_reserve
claim-2005-3,1/13/05,9/16/07,3164.005913,3418.329638
claim-2005-4,1/18/05,9/16/07,3164.005913,3418.329638
claim-2005-5,1/24/05,9/16/07,3164.005913,3418.329638
claim-2005-6,1/30/05,9/16/07,3164.005913,3418.329638
claim-2005-7,2/5/05,9/16/07,3164.005913,3418.329638
claim-2005-8,2/11/05,9/16/07,3164.005913,3418.329638
claim-2005-9,2/16/05,9/16/07,3164.005913,3418.329638
claim-2005-10,2/22/05,9/16/07,3164.005913,3418.329638
claim-2005-11,2/28/05,9/16/07,3164.005913,3418.329638
claim-2005-12,3/6/05,9/16/07,3164.005913,3418.329638
claim-2005-13,3/12/05,9/16/07,3164.005913,3418.329638
claim-2005-14,3/17/05,9/16/07,3164.005913,3418.329638
claim-2005-15,3/23/05,9/16/07,3164.005913,3418.329638
claim-2005-16,3/29/05,9/16/07,3164.005913,3418.329638
claim-2005-17,4/4/05,9/16/07,3164.005913,3418.329638
claim-2005-18,4/9/05,9/16/07,3164.005913,3418.329638
claim-2005-19,4/15/05,9/16/07,3164.005913,3418.329638
claim-2005-20,4/21/05,9/16/07,3164.005913,3418.329638
claim-2005-21,4/27/05,9/16/07,3164.005913,3418.329638
claim-2005-22,5/3/05,9/16/07,3164.005913,3418.329638
claim-2005-23,5/8/05,9/16/07,3164.005913,3418.329638
claim-2005-24,5/14/05,9/16/07,3164.005913,3418.329638
claim-2005-25,5/20/05,9/16/07,3164.005913,3418.329638
claim-2005-26,5/26/05,9/16/07,3164.005913,3418.329638
claim-2005-27,6/1/05,9/16/07,3164.005913,3418.329638
claim-2005-28,6/6/05,9/16/07,3164.005913,3418.329638
claim-2005-29,6/12/05,9/16/07,3164.005913,3418.329638
claim-2005-30,6/18/05,9/16/07,3164.005913,3418.329638
claim-2005-31,6/24/05,9/16/07,3164.005913,3418.329638
claim-2005-32,6/30/05,9/16/07,3164.005913,3418.329638
claim-2005-33,7/5/05,9/16/07,3164.005913,3418.329638
claim-2005-34,7/11/05,9/16/07,7760.97561,9024.39024
claim-2005-35,7/17/05,9/16/07,7760.97561,9024.39024
claim-2005-36,7/23/05,9/16/07,7760.97561,9024.39024
claim-2005-37,7/29/05,9/16/07,7760.97561,9024.39024
claim-2005-38,8/3/05,9/16/07,7760.97561,9024.39024
claim-2005-39,8/9/05,9/16/07,7760.97561,9024.39024
claim-2005-40,8/15/05,9/16/07,7760.97561,9024.39024
claim-2005-41,8/21/05,9/16/07,7760.97561,9024.39024
claim-2006-1,1/1/06,9/16/07,493.3333333,3700
claim-2006-2,1/9/06,9/16/07,493.3333333,3700
claim-2006-3,1/16/06,9/16/07,493.3333333,3700
claim-2006-4,1/24/06,9/16/07,493.3333333,3700
claim-2006-5,1/31/06,9/16/07,493.3333333,3700
claim-2006-6,2/8/06,9/16/07,493.3333333,3700
claim-2006-7,2/16/06,9/16/07,493.3333333,3700
claim-2006-8,2/23/06,9/16/07,493.3333333,3700
claim-2006-9,3/3/06,9/16/07,493.3333333,3700
claim-2006-10,3/10/06,9/16/07,493.3333333,3700
claim-2006-11,3/18/06,9/16/07,493.3333333,3700
claim-2006-12,3/26/06,9/16/07,493.3333333,3700
claim-2006-13,4/2/06,9/16/07,493.3333333,3700
claim-2006-14,4/10/06,9/16/07,493.3333333,3700
claim-2006-15,4/17/06,9/16/07,493.3333333,3700
claim-2005-1,1/1/05,9/16/08,35073.63977,22994.84053
claim-2005-2,1/7/05,9/16/08,35073.63977,22994.84053
claim-2005-3,1/13/05,9/16/08,35073.63977,22994.84053
claim-2005-4,1/18/05,9/16/08,35073.63977,22994.84053
claim-2005-5,1/24/05,9/16/08,35073.63977,22994.84053
claim-2005-6,1/30/05,9/16/08,35073.63977,22994.84053
claim-2005-7,2/5/05,9/16/08,35073.63977,22994.84053
claim-2005-8,2/11/05,9/16/08,35073.63977,22994.84053
claim-2005-9,2/16/05,9/16/08,35073.63977,22994.84053
claim-2005-10,2/22/05,9/16/08,35073.63977,22994.84053
claim-2005-11,2/28/05,9/16/08,35073.63977,22994.84053
claim-2005-12,3/6/05,9/16/08,35073.63977,22994.84053
claim-2005-13,3/12/05,9/16/08,35073.63977,22994.84053
claim-2005-14,3/17/05,9/16/08,35073.63977,22994.84053
claim-2005-15,3/23/05,9/16/08,35073.63977,22994.84053
claim-2005-16,3/29/05,9/16/08,35073.63977,22994.84053
claim-2005-17,4/4/05,9/16/08,35073.63977,22994.84053
claim-2005-18,4/9/05,9/16/08,35073.63977,22994.84053
claim-2005-19,4/15/05,9/16/08,35073.63977,22994.84053
claim-2005-20,4/21/05,9/16/08,35073.63977,22994.84053
claim-2005-21,4/27/05,9/16/08,35073.63977,22994.84053
claim-2005-22,5/3/05,9/16/08,35073.63977,22994.84053
claim-2005-23,5/8/05,9/16/08,35073.63977,22994.84053
claim-2005-24,5/14/05,9/16/08,35073.63977,22994.84053
claim-2005-25,5/20/05,9/16/08,35073.63977,22994.84053
claim-2005-26,5/26/05,9/16/08,35073.63977,22994.84053
claim-2005-27,6/1/05,9/16/08,35073.63977,22994.84053
claim-2005-28,6/6/05,9/16/08,35073.63977,22994.84053
claim-2005-29,6/12/05,9/16/08,35073.63977,22994.84053
claim-2005-30,6/18/05,9/16/08,35073.63977,22994.84053
claim-2005-31,6/24/05,9/16/08,35073.63977,22994.84053
claim-2005-32,6/30/05,9/16/08,35073.63977,22994.84053
claim-2005-33,7/5/05,9/16/08,35073.63977,22994.84053
claim-2005-34,7/11/05,9/16/08,35073.63977,22994.84053
claim-2005-35,7/17/05,9/16/08,35073.63977,22994.84053
claim-2005-36,7/23/05,9/16/08,35073.63977,22994.84053
claim-2005-37,7/29/05,9/16/08,35073.63977,22994.84053
claim-2005-38,8/3/05,9/16/08,35073.63977,22994.84053
claim-2005-39,8/9/05,9/16/08,35073.63977,22994.84053
claim-2005-40,8/15/05,9/16/08,35073.63977,22994.84053
claim-2005-41,8/21/05,9/16/08,35073.63977,22994.84053
claim-2005-42,8/27/05,9/16/08,42834.61538,32019.23077
claim-2005-43,9/1/05,9/16/08,42834.61538,32019.23077
claim-2005-44,9/7/05,9/16/08,42834.61538,32019.23077
claim-2005-45,9/13/05,9/16/08,42834.61538,32019.23077
claim-2005-46,9/19/05,9/16/08,42834.61538,32019.23077
claim-2005-47,9/25/05,9/16/08,42834.61538,32019.23077
claim-2005-48,9/30/05,9/16/08,42834.61538,32019.23077
claim-2005-49,10/6/05,9/16/08,42834.61538,32019.23077
claim-2005-50,10/12/05,9/16/08,42834.61538,32019.23077
claim-2005-51,10/18/05,9/16/08,42834.61538,32019.23077
claim-2005-52,10/23/05,9/16/08,42834.61538,32019.23077
claim-2006-1,1/1/06,9/16/08,964.2424242,2578.787879
claim-2006-2,1/9/06,9/16/08,964.2424242,2578.787879
claim-2006-3,1/16/06,9/16/08,964.2424242,2578.787879
claim-2006-4,1/24/06,9/16/08,964.2424242,2578.787879
claim-2006-5,1/31/06,9/16/08,964.2424242,2578.787879
claim-2006-6,2/8/06,9/16/08,964.2424242,2578.787879
claim-2006-7,2/16/06,9/16/08,964.2424242,2578.787879
claim-2006-8,2/23/06,9/16/08,964.2424242,2578.787879
claim-2006-9,3/3/06,9/16/08,964.2424242,2578.787879
claim-2006-10,3/10/06,9/16/08,964.2424242,2578.787879
claim-2006-11,3/18/06,9/16/08,964.2424242,2578.787879
claim-2006-12,3/26/06,9/16/08,964.2424242,2578.787879
claim-2006-13,4/2/06,9/16/08,964.2424242,2578.787879
claim-2006-14,4/10/06,9/16/08,964.2424242,2578.787879
claim-2006-15,4/17/06,9/16/08,964.2424242,2578.787879
claim-2006-16,4/25/06,9/16/08,1457.575758,6278.787878
claim-2006-17,5/3/06,9/16/08,1457.575758,6278.787878
claim-2006-18,5/10/06,9/16/08,1457.575758,6278.787878
claim-2006-19,5/18/06,9/16/08,1457.575758,6278.787878
claim-2006-20,5/25/06,9/16/08,1457.575758,6278.787878
claim-2006-21,6/2/06,9/16/08,1457.575758,6278.787878
claim-2006-22,6/10/06,9/16/08,1457.575758,6278.787878
claim-2006-23,6/17/06,9/16/08,1457.575758,6278.787878
claim-2006-24,6/25/06,9/16/08,1457.575758,6278.787878
claim-2006-25,7/3/06,9/16/08,1457.575758,6278.787878
claim-2006-26,7/10/06,9/16/08,1457.575758,6278.787878
claim-2006-27,7/18/06,9/16/08,1457.575758,6278.787878
claim-2006-28,7/25/06,9/16/08,1457.575758,6278.787878
claim-2006-29,8/2/06,9/16/08,1457.575758,6278.787878
claim-2006-30,8/10/06,9/16/08,1457.575758,6278.787878
claim-2006-31,8/17/06,9/16/08,1457.575758,6278.787878
claim-2006-32,8/25/06,9/16/08,1457.575758,6278.787878
claim-2006-33,9/1/06,9/16/08,1457.575758,6278.787878
claim-2007-1,1/1/07,9/16/08,2561.538462,12807.69231
claim-2007-2,1/5/07,9/16/08,2561.538462,12807.69231
claim-2007-3,1/9/07,9/16/08,2561.538462,12807.69231
claim-2007-4,1/12/07,9/16/08,2561.538462,12807.69231
claim-2007-5,1/16/07,9/16/08,2561.538462,12807.69231
claim-2007-6,1/20/07,9/16/08,2561.538462,12807.69231
claim-2007-7,1/24/07,9/16/08,2561.538462,12807.69231
claim-2007-8,1/28/07,9/16/08,2561.538462,12807.69231
claim-2007-9,1/31/07,9/16/08,2561.538462,12807.69231
claim-2007-10,2/4/07,9/16/08,2561.538462,12807.69231
claim-2007-11,2/8/07,9/16/08,2561.538462,12807.69231
claim-2007-12,2/12/07,9/16/08,2561.538462,12807.69231
claim-2007-13,2/16/07,9/16/08,2561.538462,12807.69231
claim-2007-14,2/19/07,9/16/08,2561.538462,12807.69231
claim-2007-15,2/23/07,9/16/08,2561.538462,12807.69231
claim-2007-16,2/27/07,9/16/08,2561.538462,12807.69231
claim-2007-17,3/3/07,9/16/08,2561.538462,12807.69231
claim-2007-18,3/7/07,9/16/08,2561.538462,12807.69231
claim-2007-19,3/10/07,9/16/08,2561.538462,12807.69231
claim-2007-20,3/14/07,9/16/08,2561.538462,12807.69231
claim-2007-21,3/18/07,9/16/08,2561.538462,12807.69231
claim-2007-22,3/22/07,9/16/08,2561.538462,12807.69231
claim-2007-23,3/26/07,9/16/08,2561.538462,12807.69231
claim-2007-24,3/29/07,9/16/08,2561.538462,12807.69231
claim-2007-25,4/2/07,9/16/08,2561.538462,12807.69231
claim-2007-26,4/6/07,9/16/08,2561.538462,12807.69231
claim-2005-1,1/1/05,9/16/09,25458.60495,15014.66754
claim-2005-2,1/7/05,9/16/09,25458.60495,15014.66754
claim-2005-3,1/13/05,9/16/09,25458.60495,15014.66754
claim-2005-4,1/18/05,9/16/09,25458.60495,15014.66754
claim-2005-5,1/24/05,9/16/09,25458.60495,15014.66754
claim-2005-6,1/30/05,9/16/09,25458.60495,15014.66754
claim-2005-7,2/5/05,9/16/09,25458.60495,15014.66754
claim-2005-8,2/11/05,9/16/09,25458.60495,15014.66754
claim-2005-9,2/16/05,9/16/09,25458.60495,15014.66754
claim-2005-10,2/22/05,9/16/09,25458.60495,15014.66754
claim-2005-11,2/28/05,9/16/09,25458.60495,15014.66754
claim-2005-12,3/6/05,9/16/09,25458.60495,15014.66754
claim-2005-13,3/12/05,9/16/09,25458.60495,15014.66754
claim-2005-14,3/17/05,9/16/09,25458.60495,15014.66754
claim-2005-15,3/23/05,9/16/09,25458.60495,15014.66754
claim-2005-16,3/29/05,9/16/09,25458.60495,15014.66754
claim-2005-17,4/4/05,9/16/09,25458.60495,15014.66754
claim-2005-18,4/9/05,9/16/09,25458.60495,15014.66754
claim-2005-19,4/15/05,9/16/09,25458.60495,15014.66754
claim-2005-20,4/21/05,9/16/09,25458.60495,15014.66754
claim-2005-21,4/27/05,9/16/09,25458.60495,15014.66754
claim-2005-22,5/3/05,9/16/09,25458.60495,15014.66754
claim-2005-23,5/8/05,9/16/09,25458.60495,15014.66754
claim-2005-24,5/14/05,9/16/09,25458.60495,15014.66754
claim-2005-25,5/20/05,9/16/09,25458.60495,15014.66754
claim-2005-26,5/26/05,9/16/09,25458.60495,15014.66754
claim-2005-27,6/1/05,9/16/09,25458.60495,15014.66754
claim-2005-28,6/6/05,9/16/09,25458.60495,15014.66754
claim-2005-29,6/12/05,9/16/09,25458.60495,15014.66754
claim-2005-30,6/18/05,9/16/09,25458.60495,15014.66754
claim-2005-31,6/24/05,9/16/09,25458.60495,15014.66754
claim-2005-32,6/30/05,9/16/09,25458.60495,15014.66754
claim-2005-33,7/5/05,9/16/09,25458.60495,15014.66754
claim-2005-34,7/11/05,9/16/09,25458.60495,15014.66754
claim-2005-35,7/17/05,9/16/09,25458.60495,15014.66754
claim-2005-36,7/23/05,9/16/09,25458.60495,15014.66754
claim-2005-37,7/29/05,9/16/09,25458.60495,15014.66754
claim-2005-38,8/3/05,9/16/09,25458.60495,15014.66754
claim-2005-39,8/9/05,9/16/09,25458.60495,15014.66754
claim-2005-40,8/15/05,9/16/09,25458.60495,15014.66754
claim-2005-41,8/21/05,9/16/09,25458.60495,15014.66754
claim-2005-42,8/27/05,9/16/09,25458.60495,15014.66754
claim-2005-43,9/1/05,9/16/09,25458.60495,15014.66754
claim-2005-44,9/7/05,9/16/09,25458.60495,15014.66754
claim-2005-45,9/13/05,9/16/09,25458.60495,15014.66754
claim-2005-46,9/19/05,9/16/09,25458.60495,15014.66754
claim-2005-47,9/25/05,9/16/09,25458.60495,15014.66754
claim-2005-48,9/30/05,9/16/09,25458.60495,15014.66754
claim-2005-49,10/6/05,9/16/09,25458.60495,15014.66754
claim-2005-50,10/12/05,9/16/09,25458.60495,15014.66754
claim-2005-51,10/18/05,9/16/09,25458.60495,15014.66754
claim-2005-52,10/23/05,9/16/09,25458.60495,15014.66754
claim-2005-53,10/29/05,9/16/09,68293.22034,47033.89826
claim-2005-54,11/4/05,9/16/09,68293.22034,47033.89826
claim-2005-55,11/10/05,9/16/09,68293.22034,47033.89826
claim-2005-56,11/16/05,9/16/09,68293.22034,47033.89826
claim-2005-57,11/21/05,9/16/09,68293.22034,47033.89826
claim-2005-58,11/27/05,9/16/09,68293.22034,47033.89826
claim-2005-59,12/3/05,9/16/09,68293.22034,47033.89826
claim-2006-1,1/1/06,9/16/09,3861.174242,1814.962122
claim-2006-2,1/9/06,9/16/09,3861.174242,1814.962122
claim-2006-3,1/16/06,9/16/09,3861.174242,1814.962122
claim-2006-4,1/24/06,9/16/09,3861.174242,1814.962122
claim-2006-5,1/31/06,9/16/09,3861.174242,1814.962122
claim-2006-6,2/8/06,9/16/09,3861.174242,1814.962122
claim-2006-7,2/16/06,9/16/09,3861.174242,1814.962122
claim-2006-8,2/23/06,9/16/09,3861.174242,1814.962122
claim-2006-9,3/3/06,9/16/09,3861.174242,1814.962122
claim-2006-10,3/10/06,9/16/09,3861.174242,1814.962122
claim-2006-11,3/18/06,9/16/09,3861.174242,1814.962122
claim-2006-12,3/26/06,9/16/09,3861.174242,1814.962122
claim-2006-13,4/2/06,9/16/09,3861.174242,1814.962122
claim-2006-14,4/10/06,9/16/09,3861.174242,1814.962122
claim-2006-15,4/17/06,9/16/09,3861.174242,1814.962122
claim-2006-16,4/25/06,9/16/09,3861.174242,1814.962122
claim-2006-17,5/3/06,9/16/09,3861.174242,1814.962122
claim-2006-18,5/10/06,9/16/09,3861.174242,1814.962122
claim-2006-19,5/18/06,9/16/09,3861.174242,1814.962122
claim-2006-20,5/25/06,9/16/09,3861.174242,1814.962122
claim-2006-21,6/2/06,9/16/09,3861.174242,1814.962122
claim-2006-22,6/10/06,9/16/09,3861.174242,1814.962122
claim-2006-23,6/17/06,9/16/09,3861.174242,1814.962122
claim-2006-24,6/25/06,9/16/09,3861.174242,1814.962122
claim-2006-25,7/3/06,9/16/09,3861.174242,1814.962122
claim-2006-26,7/10/06,9/16/09,3861.174242,1814.962122
claim-2006-27,7/18/06,9/16/09,3861.174242,1814.962122
claim-2006-28,7/25/06,9/16/09,3861.174242,1814.962122
claim-2006-29,8/2/06,9/16/09,3861.174242,1814.962122
claim-2006-30,8/10/06,9/16/09,3861.174242,1814.962122
claim-2006-31,8/17/06,9/16/09,3861.174242,1814.962122
claim-2006-32,8/25/06,9/16/09,3861.174242,1814.962122
claim-2006-33,9/1/06,9/16/09,3861.174242,1814.962122
claim-2006-34,9/9/06,9/16/09,5318.75,8093.75
claim-2006-35,9/17/06,9/16/09,5318.75,8093.75
claim-2006-36,9/24/06,9/16/09,5318.75,8093.75
claim-2006-37,10/2/06,9/16/09,5318.75,8093.75
claim-2006-38,10/9/06,9/16/09,5318.75,8093.75
claim-2006-39,10/17/06,9/16/09,5318.75,8093.75
claim-2006-40,10/25/06,9/16/09,5318.75,8093.75
claim-2006-41,11/1/06,9/16/09,5318.75,8093.75
claim-2006-42,11/9/06,9/16/09,5318.75,8093.75
claim-2006-43,11/16/06,9/16/09,5318.75,8093.75
claim-2006-44,11/24/06,9/16/09,5318.75,8093.75
claim-2006-45,12/2/06,9/16/09,5318.75,8093.75
claim-2006-46,12/9/06,9/16/09,5318.75,8093.75
claim-2006-47,12/17/06,9/16/09,5318.75,8093.75
claim-2006-48,12/24/06,9/16/09,5318.75,8093.75
claim-2007-1,1/1/07,9/16/09,2348.076923,2134.615385
claim-2007-2,1/5/07,9/16/09,2348.076923,2134.615385
claim-2007-3,1/9/07,9/16/09,2348.076923,2134.615385
claim-2007-4,1/12/07,9/16/09,2348.076923,2134.615385
claim-2007-5,1/16/07,9/16/09,2348.076923,2134.615385
claim-2007-6,1/20/07,9/16/09,2348.076923,2134.615385
claim-2007-7,1/24/07,9/16/09,2348.076923,2134.615385
claim-2007-8,1/28/07,9/16/09,2348.076923,2134.615385
claim-2007-9,1/31/07,9/16/09,2348.076923,2134.615385
claim-2007-10,2/4/07,9/16/09,2348.076923,2134.615385
claim-2007-11,2/8/07,9/16/09,2348.076923,2134.615385
claim-2007-12,2/12/07,9/16/09,2348.076923,2134.615385
claim-2007-13,2/16/07,9/16/09,2348.076923,2134.615385
claim-2007-14,2/19/07,9/16/09,2348.076923,2134.615385
claim-2007-15,2/23/07,9/16/09,2348.076923,2134.615385
claim-2007-16,2/27/07,9/16/09,2348.076923,2134.615385
claim-2007-17,3/3/07,9/16/09,2348.076923,2134.615385
claim-2007-18,3/7/07,9/16/09,2348.076923,2134.615385
claim-2007-19,3/10/07,9/16/09,2348.076923,2134.615385
claim-2007-20,3/14/07,9/16/09,2348.076923,2134.615385
claim-2007-21,3/18/07,9/16/09,2348.076923,2134.615385
claim-2007-22,3/22/07,9/16/09,2348.076923,2134.615385
claim-2007-23,3/26/07,9/16/09,2348.076923,2134.615385
claim-2007-24,3/29/07,9/16/09,2348.076923,2134.615385
claim-2007-25,4/2/07,9/16/09,2348.076923,2134.615385
claim-2007-26,4/6/07,9/16/09,2348.076923,2134.615385
claim-2007-27,4/10/07,9/16/09,4909.615385,14942.3077
claim-2007-28,4/14/07,9/16/09,4909.615385,14942.3077
claim-2007-29,4/17/07,9/16/09,4909.615385,14942.3077
claim-2007-30,4/21/07,9/16/09,4909.615385,14942.3077
claim-2007-31,4/25/07,9/16/09,4909.615385,14942.3077
claim-2007-32,4/29/07,9/16/09,4909.615385,14942.3077
claim-2007-33,5/3/07,9/16/09,4909.615385,14942.3077
claim-2007-34,5/6/07,9/16/09,4909.615385,14942.3077
claim-2007-35,5/10/07,9/16/09,4909.615385,14942.3077
claim-2007-36,5/14/07,9/16/09,4909.615385,14942.3077
claim-2007-37,5/18/07,9/16/09,4909.615385,14942.3077
claim-2007-38,5/22/07,9/16/09,4909.615385,14942.3077
claim-2007-39,5/25/07,9/16/09,4909.615385,14942.3077
claim-2007-40,5/29/07,9/16/09,4909.615385,14942.3077
claim-2007-41,6/2/07,9/16/09,4909.615385,14942.3077
claim-2007-42,6/6/07,9/16/09,4909.615385,14942.3077
claim-2007-43,6/10/07,9/16/09,4909.615385,14942.3077
claim-2007-44,6/13/07,9/16/09,4909.615385,14942.3077
claim-2007-45,6/17/07,9/16/09,4909.615385,14942.3077
claim-2007-46,6/21/07,9/16/09,4909.615385,14942.3077
claim-2007-47,6/25/07,9/16/09,4909.615385,14942.3077
claim-2007-48,6/29/07,9/16/09,4909.615385,14942.3077
claim-2007-49,7/2/07,9/16/09,4909.615385,14942.3077
claim-2007-50,7/6/07,9/16/09,4909.615385,14942.3077
claim-2007-51,7/10/07,9/16/09,4909.615385,14942.3077
claim-2007-52,7/14/07,9/16/09,4909.615385,14942.3077
claim-2008-1,1/1/08,9/16/09,500,16800
claim-2008-2,1/5/08,9/16/09,500,16800
claim-2008-3,1/10/08,9/16/09,500,16800
claim-2008-4,1/14/08,9/16/09,500,16800
claim-2008-5,1/18/08,9/16/09,500,16800
claim-2008-6,1/23/08,9/16/09,500,16800
claim-2008-7,1/27/08,9/16/09,500,16800
claim-2008-8,1/31/08,9/16/09,500,16800
claim-2008-9,2/4/08,9/16/09,500,16800
claim-2008-10,2/9/08,9/16/09,500,16800
claim-2008-11,2/13/08,9/16/09,500,16800
claim-2008-12,2/17/08,9/16/09,500,16800
claim-2008-13,2/22/08,9/16/09,500,16800
claim-2008-14,2/26/08,9/16/09,500,16800
claim-2008-15,3/1/08,9/16/09,500,16800
claim-2008-16,3/6/08,9/16/09,500,16800
claim-2008-17,3/10/08,9/16/09,500,16800
claim-2008-18,3/14/08,9/16/09,500,16800
claim-2008-19,3/19/08,9/16/09,500,16800
claim-2008-20,3/23/08,9/16/09,500,16800
claim-2008-21,3/27/08,9/16/09,500,16800
claim-2008-22,3/31/08,9/16/09,500,16800
claim-2008-23,4/5/08,9/16/09,500,16800
claim-2008-24,4/9/08,9/16/09,500,16800
claim-2008-25,4/13/08,9/16/09,500,16800
claim-2008-26,4/18/08,9/16/09,500,16800
claim-2008-27,4/22/08,9/16/09,500,16800
claim-2008-28,4/26/08,9/16/09,500,16800
claim-2008-29,5/1/08,9/16/09,500,16800
claim-2008-30,5/5/08,9/16/09,500,16800
claim-2008-31,5/9/08,9/16/09,500,16800
claim-2008-32,5/13/08,9/16/09,500,16800
claim-2008-33,5/18/08,9/16/09,500,16800
claim-2008-34,5/22/08,9/16/09,500,16800
claim-2008-35,5/26/08,9/16/09,500,16800
claim-2008-36,5/31/08,9/16/09,500,16800
claim-2008-37,6/4/08,9/16/09,500,16800
claim-2005-1,1/1/05,9/16/10,22621.06538,-47033.89831
claim-2005-2,1/7/05,9/16/10,22621.06538,-47033.89831
claim-2005-3,1/13/05,9/16/10,22621.06538,-47033.89831
claim-2005-4,1/18/05,9/16/10,22621.06538,-47033.89831
claim-2005-5,1/24/05,9/16/10,22621.06538,-47033.89831
claim-2005-6,1/30/05,9/16/10,22621.06538,-47033.89831
claim-2005-7,2/5/05,9/16/10,22621.06538,-47033.89831
claim-2005-8,2/11/05,9/16/10,22621.06538,-47033.89831
claim-2005-9,2/16/05,9/16/10,22621.06538,-47033.89831
claim-2005-10,2/22/05,9/16/10,22621.06538,-47033.89831
claim-2005-11,2/28/05,9/16/10,22621.06538,-47033.89831
claim-2005-12,3/6/05,9/16/10,22621.06538,-47033.89831
claim-2005-13,3/12/05,9/16/10,22621.06538,-47033.89831
claim-2005-14,3/17/05,9/16/10,22621.06538,-47033.89831
claim-2005-15,3/23/05,9/16/10,22621.06538,-47033.89831
claim-2005-16,3/29/05,9/16/10,22621.06538,-47033.89831
claim-2005-17,4/4/05,9/16/10,22621.06538,-47033.89831
claim-2005-18,4/9/05,9/16/10,22621.06538,-47033.89831
claim-2005-19,4/15/05,9/16/10,22621.06538,-47033.89831
claim-2005-20,4/21/05,9/16/10,22621.06538,-47033.89831
claim-2005-21,4/27/05,9/16/10,22621.06538,-47033.89831
claim-2005-22,5/3/05,9/16/10,22621.06538,-47033.89831
claim-2005-23,5/8/05,9/16/10,22621.06538,-47033.89831
claim-2005-24,5/14/05,9/16/10,22621.06538,-47033.89831
claim-2005-25,5/20/05,9/16/10,22621.06538,-47033.89831
claim-2005-26,5/26/05,9/16/10,22621.06538,-47033.89831
claim-2005-27,6/1/05,9/16/10,22621.06538,-47033.89831
claim-2005-28,6/6/05,9/16/10,22621.06538,-47033.89831
claim-2005-29,6/12/05,9/16/10,22621.06538,-47033.89831
claim-2005-30,6/18/05,9/16/10,22621.06538,-47033.89831
claim-2005-31,6/24/05,9/16/10,22621.06538,-47033.89831
claim-2005-32,6/30/05,9/16/10,22621.06538,-47033.89831
claim-2005-33,7/5/05,9/16/10,22621.06538,-47033.89831
claim-2005-34,7/11/05,9/16/10,22621.06538,-47033.89831
claim-2005-35,7/17/05,9/16/10,22621.06538,-47033.89831
claim-2005-36,7/23/05,9/16/10,22621.06538,-47033.89831
claim-2005-37,7/29/05,9/16/10,22621.06538,-47033.89831
claim-2005-38,8/3/05,9/16/10,22621.06538,-47033.89831
claim-2005-39,8/9/05,9/16/10,22621.06538,-47033.89831
claim-2005-40,8/15/05,9/16/10,22621.06538,-47033.89831
claim-2005-41,8/21/05,9/16/10,22621.06538,-47033.89831
claim-2005-42,8/27/05,9/16/10,22621.06538,-47033.89831
claim-2005-43,9/1/05,9/16/10,22621.06538,-47033.89831
claim-2005-44,9/7/05,9/16/10,22621.06538,-47033.89831
claim-2005-45,9/13/05,9/16/10,22621.06538,-47033.89831
claim-2005-46,9/19/05,9/16/10,22621.06538,-47033.89831
claim-2005-47,9/25/05,9/16/10,22621.06538,-47033.89831
claim-2005-48,9/30/05,9/16/10,22621.06538,-47033.89831
